epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,11316.9,0.98248,0.61107,1.06638,0.82754,0.79469,0.85627,0.59819,1.06643,0.6752,1.14481,0.000616425,0.000616425,0.000616425
121,11410.3,0.97536,0.60527,1.05749,0.8402,0.80062,0.85587,0.60087,1.06589,0.67522,1.14476,0.000609,0.000609,0.000609
122,11504.3,0.97312,0.6028,1.05927,0.84518,0.7939,0.85547,0.60104,1.06693,0.67266,1.14622,0.000601575,0.000601575,0.000601575
123,11597.3,0.97485,0.60638,1.06735,0.83543,0.79224,0.85562,0.60067,1.06606,0.67047,1.14482,0.00059415,0.00059415,0.00059415
124,11690.7,0.98143,0.60553,1.06439,0.83417,0.79047,0.85591,0.60013,1.06708,0.66901,1.14489,0.000586725,0.000586725,0.000586725
125,11783.6,0.97341,0.59711,1.05805,0.83325,0.78902,0.85434,0.60004,1.06631,0.66916,1.14401,0.0005793,0.0005793,0.0005793
126,11876.9,0.96584,0.59495,1.05593,0.82456,0.80217,0.85414,0.5989,1.06613,0.66917,1.14432,0.000571875,0.000571875,0.000571875
127,11970.8,0.97308,0.60162,1.06223,0.82563,0.79868,0.85432,0.60017,1.06553,0.66844,1.144,0.00056445,0.00056445,0.00056445
128,12063.7,0.96088,0.59081,1.05476,0.87683,0.75604,0.85409,0.59955,1.06634,0.6674,1.14508,0.000557025,0.000557025,0.000557025
129,12156.8,0.96759,0.59493,1.05612,0.83958,0.77557,0.85446,0.60066,1.06482,0.66816,1.14274,0.0005496,0.0005496,0.0005496
130,12250.2,0.96404,0.59451,1.05559,0.86055,0.76039,0.85363,0.60064,1.06436,0.66901,1.14229,0.000542175,0.000542175,0.000542175
131,12343,0.96319,0.59338,1.05525,0.84646,0.77006,0.85306,0.5987,1.06388,0.66714,1.14257,0.00053475,0.00053475,0.00053475
132,12436.4,0.95412,0.58756,1.04956,0.84375,0.78245,0.85333,0.59667,1.06346,0.66705,1.14233,0.000527325,0.000527325,0.000527325
133,12529.4,0.95817,0.58713,1.05037,0.8286,0.78663,0.85348,0.59908,1.06346,0.66694,1.14224,0.0005199,0.0005199,0.0005199
134,12623.5,0.95627,0.58782,1.05089,0.81292,0.80188,0.85353,0.59983,1.06284,0.66692,1.14173,0.000512475,0.000512475,0.000512475
135,12716.4,0.9481,0.58456,1.04834,0.81397,0.79753,0.8522,0.59851,1.06312,0.66705,1.14214,0.00050505,0.00050505,0.00050505
136,12809.8,0.95271,0.58236,1.05019,0.81521,0.79649,0.85199,0.59672,1.06364,0.66722,1.14228,0.000497625,0.000497625,0.000497625
137,12902.9,0.95865,0.58353,1.05068,0.82051,0.79037,0.85106,0.59791,1.06405,0.66731,1.14207,0.0004902,0.0004902,0.0004902
138,12995.9,0.96026,0.58461,1.0524,0.80073,0.80562,0.85119,0.59608,1.06466,0.66714,1.14236,0.000482775,0.000482775,0.000482775
139,13089.3,0.95044,0.58297,1.04907,0.80598,0.79991,0.85271,0.5987,1.06459,0.66742,1.14198,0.00047535,0.00047535,0.00047535
140,13184.2,0.95448,0.57892,1.04974,0.80043,0.80943,0.85157,0.59682,1.06518,0.66653,1.14228,0.000467925,0.000467925,0.000467925
141,13277.7,0.94632,0.57875,1.04414,0.80668,0.80717,0.85207,0.59712,1.06525,0.66533,1.14257,0.0004605,0.0004605,0.0004605
